RK,Team,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,3PR,3PRD,ADJ_T,WAB,SEED
44,Cincinnati,B12,33,18,111.6,95.3,0.8590,50.9,48.6,15.5,19.7,32.3,30.1,23.4,24.3,52.6,48.0,32.0,33.2,38.1,34.2,65.2,-1.00,N/A
45,UC San Diego,BW,34,30,113.5,97.0,0.8589,55.4,47.7,13.4,23.3,25.6,28.4,33.8,29.8,56.1,46.2,36.5,33.1,49.6,44.3,65.8,1.20,12
46,Oklahoma,SEC,33,20,117.7,100.9,0.8549,54.9,51.1,17.3,18.1,26.5,31.7,39.6,35.8,54.6,54.9,37.0,30.5,41.9,41.9,68.4,2.10,9
47,SMU,ACC,33,23,116.8,100.3,0.8529,54.7,47.8,17.4,17.9,36.7,30.5,36.7,32.5,53.7,46.8,37.6,32.9,35.1,41.0,68.8,-0.30,N/A
48,Utah St.,MWC,33,26,122.6,105.2,0.8528,56.0,51.8,16.0,20.2,34.6,30.3,37.6,36.2,57.7,52.6,35.8,33.8,42.3,44.4,67.6,2.30,10
49,Texas,SEC,34,19,116.7,100.2,0.8524,52.5,48.4,14.3,16.6,29.8,29.7,36.6,39.3,51.8,47.5,36.0,33.3,35.4,36.2,67.3,0.04,11
50,Boise St.,MWC,34,24,115.4,99.1,0.8519,52.1,49.6,16.9,16.1,33.2,22.6,39.2,31.1,56.3,48.6,31.0,34.2,43.3,36.2,65.2,0.15,N/A
51,Santa Clara,WCC,32,20,115.7,99.7,0.8469,55.5,49.5,17.0,16.9,32.8,26.9,28.9,31.9,54.6,51.7,37.7,30.7,46.8,39.7,68.9,-3.40,N/A
52,Villanova,BE,33,19,118.6,102.5,0.8431,54.9,51.1,15.6,16.0,30.2,27.4,28.9,30.1,51.1,50.3,39.8,34.7,43.6,45.9,63.1,-2.90,N/A
53,San Diego St.,MWC,30,21,108.9,94.3,0.8388,50.6,45.3,16.8,19.7,29.4,30.9,32.1,37.2,51.6,45.0,32.8,30.4,39.4,47.3,65.8,0.90,11
54,Northwestern,B10,33,17,113.3,98.1,0.8387,49.8,49.9,14.9,19.8,31.2,30.1,31.3,36.6,49.7,49.4,33.3,33.8,34.2,39.3,64.9,-2.60,N/A
55,Indiana,B10,32,19,112.4,97.8,0.8317,51.1,49.8,16.7,16.4,31.5,28.1,33.1,29.6,52.6,50.3,32.1,32.7,33.2,38.9,68.0,0.30,N/A
56,Liberty,CUSA,34,28,112.8,98.2,0.8308,58.4,45.9,15.3,16.9,18.9,28.0,30.9,26.3,57.7,48.0,39.5,28.0,47.7,34.4,65.4,-0.30,12
57,Kansas St.,B12,33,16,109.8,95.9,0.8249,50.6,49.0,17.7,18.1,29.4,31.7,27.6,28.6,51.8,49.9,32.5,31.5,40.2,35.7,67.0,-2.50,N/A
58,Drake,MVC,33,30,112.5,98.5,0.8229,53.8,51.7,18.6,22.1,36.0,25.8,43.0,35.8,54.6,54.3,35.0,31.8,36.8,39.1,58.6,2.30,11
59,USC,B10,33,16,116.8,102.8,0.8142,54.6,52.4,17.8,17.8,28.2,30.9,36.4,34.9,54.3,54.3,36.7,32.9,34.7,38.5,68.2,-3.80,N/A
60,Memphis,Amer,34,29,111.7,98.7,0.8059,53.6,48.5,19.2,19.1,35.1,32.3,39.4,33.6,52.0,48.6,38.0,32.2,33.1,40.7,70.7,4.90,5
61,San Francisco,WCC,33,24,111.0,98.1,0.8048,53.0,48.7,17.0,18.2,29.0,28.1,35.0,35.9,54.7,52.1,34.0,28.3,43.6,35.1,67.7,0.00,N/A
62,Nebraska,B10,31,17,111.9,99.2,0.7987,51.5,50.9,16.2,17.6,26.8,28.8,36.0,27.0,53.3,50.6,32.5,34.1,38.5,46.2,67.5,-1.40,N/A
63,McNeese St.,Slnd,33,27,113.4,100.7,0.7962,53.3,47.5,16.2,21.6,34.7,31.3,35.7,31.4,53.2,46.9,35.6,32.2,36.7,46.6,65.2,-0.90,12
64,Penn St.,B10,31,16,113.6,100.9,0.7956,54.1,51.9,17.4,19.8,28.6,29.1,37.9,29.4,55.6,51.2,34.3,35.3,36.2,38.3,70.1,-3.70,N/A
65,Arizona St.,B12,32,13,113.2,100.8,0.7915,51.4,50.5,17.5,16.0,25.2,30.4,35.9,31.2,49.8,51.4,35.8,32.9,42.8,40.3,68.3,-3.10,N/A
66,Iowa,B10,33,17,119.4,106.6,0.7877,56.8,54.4,13.7,17.9,25.1,32.2,26.0,28.3,56.6,56.2,38.0,34.4,41.0,38.8,69.7,-2.40,N/A
67,Utah,B12,32,16,112.5,100.5,0.7866,51.7,48.7,18.1,15.7,34.9,28.4,37.0,33.4,53.9,47.4,32.6,33.8,43.8,40.0,68.8,-3.00,N/A
68,Rutgers,B10,32,15,115.7,103.7,0.7783,50.6,52.8,15.4,17.4,30.8,32.2,36.2,30.5,51.3,52.9,32.9,35.1,36.3,37.7,68.6,-3.60,N/A
69,UCF,B12,33,17,115.5,103.6,0.7767,49.4,51.1,17.2,18.1,32.4,34.4,36.3,30.8,48.6,52.1,33.6,33.0,41.3,37.0,71.7,-2.00,N/A
70,Wake Forest,ACC,32,21,107.9,97.1,0.7722,49.4,47.2,16.7,19.7,26.8,31.5,36.1,31.5,52.9,48.2,28.5,30.7,35.2,45.8,67.1,0.60,N/A
71,George Mason,A10,34,26,105.7,95.1,0.7721,51.5,45.0,20.0,18.9,32.1,29.1,41.7,31.5,50.7,44.6,35.3,30.3,35.8,45.5,64.6,-0.20,N/A
72,Pittsburgh,ACC,32,17,113.9,102.7,0.7664,52.2,51.1,14.8,18.3,29.0,29.9,34.2,32.8,52.4,50.4,34.6,34.7,41.4,41.3,66.4,-3.70,N/A
73,North Texas,Amer,32,24,109.2,98.7,0.7627,51.6,46.8,17.0,19.5,33.1,27.7,36.6,39.5,50.5,47.6,35.7,30.3,37.3,37.7,60.4,-1.80,N/A
74,TCU,B12,32,16,106.3,96.1,0.7608,46.8,50.9,17.3,19.5,33.0,29.6,33.5,28.3,47.8,53.4,30.0,31.6,34.7,42.5,66.4,-1.70,N/A
75,Stanford,ACC,33,20,112.3,101.6,0.7595,50.4,50.6,15.8,17.6,31.1,28.2,29.7,36.0,49.9,50.9,34.1,33.4,41.4,34.1,66.0,-2.60,N/A
76,South Carolina,SEC,32,12,109.8,99.4,0.7579,48.9,51.5,18.4,15.6,30.4,27.3,43.3,30.4,49.8,51.1,31.6,34.8,39.0,34.6,65.3,-5.60,N/A
77,Butler,BE,33,14,116.0,105.3,0.7540,53.0,49.4,16.4,11.5,26.4,29.3,37.3,20.4,51.7,50.9,36.6,31.3,40.9,36.8,67.3,-6.10,N/A
78,Dayton,A10,32,22,114.7,104.3,0.7471,52.6,50.4,15.5,17.7,29.6,28.8,37.9,30.7,52.1,51.9,35.6,32.3,40.4,42.4,65.7,-1.50,N/A
79,Yale,Ivy,29,22,113.9,103.7,0.7461,54.8,48.8,14.4,16.1,33.2,25.8,32.0,28.7,53.4,47.3,38.5,33.7,32.0,48.0,67.2,-2.70,13
80,UC Irvine,BW,34,28,106.4,96.9,0.7446,51.6,46.2,18.3,17.9,28.5,25.9,36.3,21.9,51.0,43.3,35.2,34.0,35.1,37.8,68.7,0.21,N/A
81,Colorado,B12,34,14,108.5,98.9,0.7426,50.6,49.5,21.0,16.4,28.9,28.3,36.3,34.8,51.9,48.5,32.2,34.1,37.3,39.1,67.5,-4.40,N/A
82,Saint Joseph's,A10,34,22,110.7,101.1,0.7393,52.1,47.1,16.6,16.1,30.4,27.4,32.3,25.9,53.1,45.5,34.0,33.5,46.5,33.3,68.0,-4.70,N/A
83,Grand Canyon,WAC,33,26,108.5,99.5,0.7316,51.2,47.0,18.4,20.6,32.5,28.6,43.9,32.2,53.2,46.4,31.6,32.1,33.6,34.4,71.5,-2.50,13
84,LSU,SEC,32,14,108.5,99.6,0.7284,51.1,48.3,18.6,16.5,29.5,34.3,32.5,29.5,55.2,48.2,30.5,32.3,43.5,35.8,68.0,-4.00,N/A
85,High Point,BSth,34,29,117.7,108.1,0.7262,56.4,49.1,15.3,16.5,34.0,29.9,37.6,36.3,57.4,48.9,36.6,32.9,39.0,36.0,66.5,-1.80,13
86,Minnesota,B10,32,15,109.9,101.5,0.7148,49.9,50.1,16.6,16.3,30.2,30.6,31.5,33.0,50.7,49.2,32.2,34.5,35.9,34.3,62.6,-4.50,N/A
87,Oklahoma St.,B12,32,15,107.8,99.6,0.7137,48.3,53.5,19.1,20.6,31.0,29.4,41.6,36.2,48.0,54.6,32.5,34.8,35.1,43.7,71.3,-3.50,N/A
88,Nevada,MWC,33,17,112.1,103.8,0.7075,53.7,51.3,15.5,18.7,27.4,26.5,37.3,37.9,55.3,49.5,34.1,35.7,37.5,44.7,63.8,-6.40,N/A
89,UNLV,MWC,33,18,106.9,99.2,0.7024,49.7,49.3,16.2,17.8,27.3,29.8,35.8,32.0,49.6,50.5,33.3,31.9,34.6,43.4,65.7,-5.00,N/A
90,Georgia Tech,ACC,33,17,107.4,99.8,0.6993,50.4,48.8,17.4,15.6,30.5,28.6,31.2,28.5,49.9,46.7,34.1,34.6,36.2,40.5,68.7,-5.10,N/A
91,Oregon St.,WCC,32,20,116.0,108.0,0.6950,54.6,51.1,16.6,16.6,31.8,27.6,38.9,32.3,54.5,50.4,36.5,34.7,35.9,41.2,63.7,-4.40,N/A
92,St. Bonaventure,A10,33,22,106.5,99.2,0.6927,50.2,49.7,16.0,18.7,28.0,26.9,30.9,24.4,51.9,50.8,31.4,32.3,34.9,47.6,64.2,-4.10,N/A
93,Florida St.,ACC,32,17,107.8,100.5,0.6917,50.7,48.5,17.4,19.1,29.7,31.8,39.4,37.5,52.3,48.9,31.7,32.0,33.7,42.1,69.6,-5.10,N/A
94,Georgetown,BE,32,17,107.1,99.9,0.6900,50.4,49.4,17.1,19.6,31.6,28.9,25.8,29.3,52.1,48.5,31.8,33.8,37.4,39.6,68.2,-4.70,N/A
95,Arkansas St.,SB,34,24,109.7,102.5,0.6850,49.3,45.7,15.0,17.1,33.9,30.6,34.2,37.6,50.5,46.0,31.8,30.1,44.6,35.0,69.6,-4.70,N/A
96,Virginia,ACC,32,15,111.6,104.5,0.6819,52.7,50.8,16.4,15.7,22.4,29.7,26.4,28.8,49.9,50.6,37.5,34.1,42.8,38.7,60.9,-5.60,N/A
97,Notre Dame,ACC,33,15,110.6,103.6,0.6777,51.7,51.4,16.5,14.9,29.6,26.0,31.8,30.0,50.8,53.6,35.5,32.1,37.5,40.5,64.6,-7.00,N/A
98,Loyola Chicago,A10,33,22,107.8,101.1,0.6765,52.6,49.0,17.6,17.9,29.9,27.5,31.7,33.2,53.0,48.3,34.7,33.3,42.0,40.4,66.9,-4.60,N/A
99,Bradley,MVC,34,26,111.0,104.2,0.6751,56.8,47.9,17.3,15.6,26.3,28.1,32.4,35.5,54.5,47.4,40.0,32.4,41.9,43.1,65.7,-2.00,N/A
100,Akron,MAC,34,28,113.7,106.8,0.6717,55.4,49.5,16.6,17.2,33.3,29.0,26.8,33.7,55.8,50.6,36.6,31.9,45.4,38.0,71.2,-1.80,13
101,Lipscomb,ASun,34,25,110.7,104.0,0.6716,55.9,48.6,14.4,15.9,24.0,26.5,31.4,22.3,56.7,49.9,36.7,31.0,47.4,37.2,66.1,-4.10,14
102,UAB,Amer,34,22,117.2,110.2,0.6711,50.7,51.6,13.9,15.5,38.8,30.7,31.6,29.2,50.5,50.6,34.1,35.7,29.4,34.2,69.0,-6.20,N/A
103,Troy,SB,33,23,106.7,100.6,0.6613,50.1,47.2,19.9,19.8,38.6,32.0,37.8,29.3,53.9,46.2,30.3,32.6,44.8,38.1,66.1,-4.50,14
104,Providence,BE,32,12,111.2,105.0,0.6583,52.1,49.5,19.0,13.8,33.2,28.7,29.6,32.8,51.1,49.0,35.6,33.5,45.5,37.0,66.2,-8.50,N/A
105,New Mexico St.,CUSA,32,17,104.7,99.0,0.6556,46.2,46.9,15.6,15.0,32.5,27.7,34.5,39.2,46.1,48.8,30.9,29.5,37.0,42.8,64.7,-8.40,N/A
106,Washington St.,WCC,33,19,112.7,106.7,0.6527,56.7,51.3,20.4,17.3,31.3,33.4,32.4,32.6,58.0,52.0,36.5,33.5,41.5,38.8,70.6,-4.80,N/A
107,Syracuse,ACC,33,14,110.9,105.2,0.6485,51.0,52.9,17.9,14.0,31.4,26.1,33.1,33.0,51.9,53.6,32.8,34.5,32.7,38.1,68.1,-7.70,N/A
108,Saint Louis,A10,33,19,108.8,103.5,0.6406,56.3,48.6,18.6,14.4,23.6,28.0,29.8,24.3,59.8,47.8,35.3,33.2,50.3,39.4,67.1,-6.50,N/A
109,UNC Wilmington,CAA,34,27,112.2,106.8,0.6390,52.2,50.9,16.0,17.4,35.4,28.1,37.8,30.3,53.8,50.4,33.0,34.4,36.2,42.6,65.1,-3.30,14
110,Utah Valley,WAC,33,25,107.0,101.8,0.6378,50.8,47.4,17.3,16.9,31.1,26.6,41.8,31.8,51.4,45.7,33.0,33.8,31.1,32.9,67.9,-3.10,N/A
111,Florida Atlantic,Amer,33,18,112.2,106.8,0.6377,53.2,49.6,16.3,16.0,30.7,31.6,33.2,33.3,53.8,46.6,34.9,36.8,40.3,35.3,68.9,-7.90,N/A
112,DePaul,BE,33,14,109.3,104.1,0.6372,52.7,51.4,17.9,15.5,27.2,28.7,27.4,28.9,53.3,51.3,34.6,34.4,46.4,35.5,67.0,-7.50,N/A
113,North Alabama,ASun,34,24,112.0,106.7,0.6371,51.7,50.5,12.5,16.8,33.5,29.0,30.8,27.6,51.5,51.7,34.8,32.6,34.8,43.3,66.5,-5.70,N/A
114,St. Thomas,Sum,34,24,114.1,108.8,0.6340,57.8,52.5,13.7,18.5,21.5,31.2,34.0,35.9,58.1,52.1,38.3,35.4,46.8,41.3,67.8,-5.20,N/A
115,N.C. State,ACC,31,12,107.7,102.7,0.6331,48.3,51.0,14.4,18.6,28.8,32.5,32.3,32.2,48.3,50.8,32.2,34.3,36.2,32.6,65.1,-8.90,N/A
116,George Washington,A10,33,21,107.6,102.7,0.6320,50.6,48.4,18.2,19.4,32.1,32.7,40.8,26.7,53.2,49.0,31.3,31.6,41.9,38.9,66.8,-6.50,N/A
117,Northern Iowa,MVC,32,20,108.6,103.7,0.6291,55.5,51.5,15.9,17.4,25.6,25.2,35.2,28.3,55.3,49.9,37.2,36.0,35.9,40.9,65.0,-6.60,N/A
118,Washington,B10,31,13,109.2,104.5,0.6260,50.6,53.0,17.5,16.7,27.5,28.5,34.5,36.2,50.1,53.3,34.4,35.1,35.7,35.4,67.6,-5.60,N/A
119,Northern Colorado,BSky,34,25,111.8,106.9,0.6258,57.3,52.1,15.7,15.5,25.2,22.2,33.4,35.4,58.9,51.8,36.5,35.2,38.1,34.1,68.7,-4.10,N/A
120,Middle Tennessee,CUSA,33,22,108.5,103.8,0.6233,50.8,48.5,16.6,16.1,30.7,29.0,32.3,31.0,52.9,49.2,31.7,31.6,39.5,35.5,68.3,-4.30,N/A
121,California,ACC,33,14,110.0,105.7,0.6142,47.8,53.0,16.6,16.3,34.7,28.8,38.9,32.8,48.2,51.3,31.5,37.6,37.8,32.8,67.5,-8.00,N/A
122,North Dakota St.,Sum,32,21,115.5,111.2,0.6085,58.2,51.4,15.6,11.1,26.2,29.0,32.6,27.1,56.5,51.3,39.8,34.3,53.6,39.1,65.0,-6.40,N/A
123,Duquesne,A10,32,13,106.4,102.7,0.6006,50.0,50.2,18.3,20.0,32.9,30.7,30.0,39.5,49.2,48.1,34.0,35.9,43.2,35.9,65.0,-12.80,N/A
124,Kennesaw St.,CUSA,33,19,107.1,103.4,0.5995,49.3,48.3,19.7,15.1,32.5,27.4,38.8,42.6,52.2,48.1,30.6,32.5,45.5,38.4,70.1,-7.20,N/A
125,Cornell,Ivy,29,18,114.7,110.8,0.5967,58.7,52.2,16.8,15.3,25.5,28.9,28.6,31.3,61.1,52.3,37.4,34.7,48.6,39.1,70.7,-7.20,N/A
126,Nebraska Omaha,Sum,34,22,112.2,108.4,0.5964,53.5,53.1,15.7,14.9,29.2,25.4,36.4,37.7,52.5,53.5,36.7,35.1,38.6,44.5,67.7,-6.50,15
127,Kent St.,MAC,33,22,105.5,102.1,0.5944,48.7,48.4,17.3,18.9,35.7,28.3,30.0,39.2,50.4,49.4,30.5,31.3,37.7,41.7,65.8,-5.90,N/A
128,Cal St. Northridge,BW,32,22,107.7,104.4,0.5896,51.8,49.9,18.9,20.5,35.4,24.1,35.8,45.1,51.5,46.4,35.0,35.6,30.8,50.8,72.2,-4.90,N/A
129,South Dakota St.,Sum,32,20,109.7,106.4,0.5869,53.6,50.9,17.6,12.7,33.6,21.4,31.2,29.9,54.5,52.3,34.8,32.9,40.0,47.8,69.0,-6.20,N/A
130,Belmont,MVC,33,22,111.9,108.5,0.5868,54.8,53.7,15.9,17.6,27.2,29.4,26.1,27.0,52.9,54.6,38.1,35.1,44.6,43.4,70.6,-5.50,N/A
131,Illinois St.,MVC,33,19,112.1,108.8,0.5829,56.0,53.8,15.8,16.7,24.6,24.9,30.7,31.4,56.6,53.5,36.9,36.1,47.5,43.3,65.6,-8.20,N/A
132,Jacksonville St.,CUSA,34,22,108.0,105.1,0.5782,49.6,49.4,15.7,13.3,30.9,26.5,32.2,28.0,49.1,47.7,33.5,34.5,36.4,42.5,64.6,-5.40,N/A
133,Montana,BSky,34,25,112.0,109.0,0.5779,56.4,52.2,16.2,15.5,22.6,29.0,36.2,31.9,57.3,53.1,36.5,33.7,36.8,35.0,67.0,-3.10,14
134,Louisiana Tech,CUSA,32,20,107.7,105.0,0.5728,52.5,47.8,18.9,14.7,29.3,28.7,35.0,32.0,53.5,48.8,34.1,30.8,41.4,38.9,64.4,-6.40,N/A
135,Chattanooga,SC,33,24,114.0,111.2,0.5725,56.5,51.2,15.4,16.2,25.8,29.9,31.5,33.8,57.5,50.0,36.8,35.4,45.3,41.0,66.5,-4.10,N/A
136,South Alabama,SB,32,21,106.1,103.6,0.5684,50.8,48.5,14.6,20.6,28.3,32.2,33.6,24.4,53.6,46.9,31.7,33.1,45.6,59.3,63.1,-6.50,N/A
137,Samford,SC,32,22,110.4,108.0,0.5635,54.6,53.2,18.3,21.8,34.6,33.5,29.3,41.8,54.0,53.8,36.9,35.0,46.7,43.8,70.8,-4.90,N/A
138,Tulane,Amer,33,19,108.4,106.1,0.5603,52.1,48.4,15.9,17.4,27.2,32.4,35.1,32.8,52.9,48.3,33.9,32.3,39.4,43.1,66.7,-8.70,N/A
139,Seattle,WAC,32,14,103.0,101.0,0.5584,46.5,51.2,17.0,20.9,29.9,27.0,42.3,36.7,46.3,53.3,31.3,31.9,36.3,38.6,65.9,-12.10,N/A
140,Wichita St.,Amer,33,19,105.8,103.7,0.5582,48.7,49.9,16.4,15.7,31.9,28.4,35.2,28.3,50.1,49.9,30.2,33.3,28.4,38.3,68.6,-7.30,N/A
141,Furman,SC,34,25,109.2,107.3,0.5515,53.6,49.2,17.0,16.5,30.0,31.0,35.4,29.0,53.2,49.2,36.0,32.9,51.4,38.6,65.8,-4.40,N/A
142,Davidson,A10,33,17,109.3,107.4,0.5513,52.4,52.3,14.6,15.4,24.4,26.9,29.2,28.1,53.3,51.9,34.1,35.3,42.1,39.9,65.7,-9.20,N/A
